Day,Price,Action,Amount
0,18.200000762939453,BUY,548.901075891303
1,18.0,SELL,9870.33914667741
5,18.0,BUY,547.8038226405963
7,17.790000915527344,SELL,9735.685075799282
8,17.549999237060547,BUY,554.1851745602972
15,18.31999969482422,SELL,10142.519556591931
16,17.56999969482422,BUY,576.6862386468988
18,18.450000762939453,SELL,10629.221681468955
22,17.700000762939453,BUY,599.9204520951697
23,17.700000762939453,SELL,10607.973867327699
24,18.149999618530277,BUY,583.8769210022996
27,17.010000228881836,STOP_LOSS,9921.814813328048
28,17.010000228881836,BUY,582.7097510372159
29,16.469999313354492,SELL,9587.631970268447
30,16.649999618530273,BUY,575.2579313958958
31,17.309999465942383,SELL,9947.756770756832
32,17.3700008392334,BUY,572.1248436292342
41,17.0,SELL,9716.396219355283
42,17.149999618530273,BUY,565.9871742882158
45,14.5600004196167,STOP_LOSS,8232.532721638958
48,13.529999732971191,BUY,607.856640889324
50,14.989999771118164,TAKE_PROFIT,9102.659136895818
54,14.729999542236328,BUY,617.3494066774646
55,18.780000686645508,TAKE_PROFIT,11582.228459021677
79,18.709999084472656,BUY,618.4204594731959
81,18.709999084472656,SELL,11559.075584332093
83,16.8700008392334,BUY,684.5000553818882
84,16.8700008392334,SELL,11535.968992239013
93,22.07999992370605,BUY,521.9399032186427
98,22.989999771118164,SELL,11987.3988572785
99,22.5,BUY,532.2405092631654
102,21.3700008392334,STOP_LOSS,11362.606149498228
106,21.899999618530277,BUY,518.3216320124538
107,21.36000061035156,SELL,11060.279025768286
118,20.420000076293945,BUY,541.0978797972588
119,21.21999931335449,SELL,11470.614541117646
120,21.09000015258789,BUY,543.3448953849539
121,21.09000015258789,SELL,11447.684782649952
122,19.76000022888184,BUY,578.7569314473861
123,19.309999465942383,SELL,11164.620241122318
124,19.309999465942383,BUY,577.5999963414228
125,21.25,TAKE_PROFIT,12261.725922332978
131,19.90999984741211,BUY,615.2418026262729
137,19.649999618530277,SELL,12077.411685723233
138,19.799999237060547,BUY,609.360340350634
141,19.489999771118164,SELL,11864.556461068383
144,18.5,BUY,640.6860488976928
145,18.5,SELL,11840.83921270271
150,15.6899995803833,BUY,753.9196105702526
152,11.5,STOP_LOSS,8661.405446036348
153,12.25,BUY,706.3464522930867
154,10.510000228881836,STOP_LOSS,7416.277673894944
156,12.75,BUY,581.0871683310627
157,10.550000190734863,STOP_LOSS,6124.3392669895675
161,10.949999809265137,BUY,502.8669891200536
162,12.449999809265137,TAKE_PROFIT,6254.43322471177
