Day,Price,Action,Amount
5,14.350000381469728,BUY,696.1672288803677
6,14.4399995803833,SELL,10042.601838416205
7,14.369999885559082,BUY,698.1600081054879
8,14.56999969482422,SELL,10162.018913930398
10,14.600000381469728,BUY,695.3326458745282
24,13.869999885559082,STOP_LOSS,9634.619454986496
25,13.710000038146973,BUY,702.041196845424
28,13.520000457763672,SELL,9482.10570541637
29,13.56999969482422,BUY,698.0562868637306
36,14.239999771118164,SELL,9930.381043801952
37,14.15999984741211,BUY,700.5968057670013
47,14.119999885559082,SELL,9882.534390435865
48,14.039999961853027,BUY,703.180333537723
51,13.960000038146973,SELL,9806.581085527801
64,14.0600004196167,BUY,696.7833721237791
65,14.0,SELL,9745.212242523176
67,14.0,BUY,625.8514519466133
69,13.979999542236328,SELL,9715.174832962191
72,13.829999923706056,BUY,561.4148784769297
73,14.050000190734863,SELL,9823.026237125008
79,13.75,BUY,606.6343803094328
80,13.859999656677246,SELL,9872.998286083284
89,13.8100004196167,BUY,642.7814981387133
96,13.93000030517578,SELL,9932.292347376715
103,14.010000228881836,BUY,672.8224053020018
106,14.029999732971191,SELL,9926.87308592623
138,14.619999885559082,BUY,678.3136997583547
147,14.550000190734863,SELL,9859.594996401269
149,13.760000228881836,BUY,715.8237817998405
150,12.75,STOP_LOSS,9117.626464730018
152,12.300000190734863,BUY,740.5291623593951
154,10.5600004196167,STOP_LOSS,7812.168276988361
157,11.050000190734863,BUY,635.6489028597131
159,12.470000267028809,TAKE_PROFIT,7918.615446408794
