Day,Price,Action,Amount
2,34.79999923706055,BUY,287.0689718108116
3,34.33000183105469,SELL,9845.223249576244
6,33.540000915527344,BUY,293.2432247422325
7,34.22999954223633,SELL,10027.677733241831
9,33.91999816894531,BUY,295.33168031477146
13,33.689998626708984,SELL,9939.774180324079
14,33.0099983215332,BUY,300.8129327794085
15,33.2400016784668,SELL,9989.023368101567
16,34.060001373291016,BUY,292.983967773964
20,34.369998931884766,SELL,10059.788800791055
27,36.95000076293945,BUY,271.9818350334125
28,36.9900016784668,SELL,10050.547925864008
29,36.790000915527344,BUY,272.9137572187588
30,36.16999816894531,SELL,9861.418808783608
31,36.2599983215332,BUY,271.6921634308081
32,36.2400016784668,SELL,9836.278334300003
33,35.599998474121094,BUY,276.0236650883256
34,36.2599983215332,SELL,9998.609015173322
35,35.41999816894531,BUY,282.0048255935744
38,34.939998626708984,SELL,9843.394970745832
39,34.939998626708984,BUY,281.4410979472129
48,35.58000183105469,SELL,10003.66110551558
49,35.189998626708984,BUY,283.9914133109668
51,35.66999816894531,SELL,10119.843219605578
111,41.84000015258789,BUY,241.62818689092825
112,42.900001525878906,SELL,10355.483736729859
123,38.63999938964844,BUY,267.7310666771015
124,38.97999954223633,SELL,10425.720699659345
136,37.540000915527344,BUY,277.44525106422407
138,35.130001068115234,STOP_LOSS,9736.90531426346
140,33.56999969482422,BUY,289.7577747207701
142,34.5,SELL,9986.646584638702
145,31.600000381469727,BUY,315.71708283599855
147,26.670000076293945,STOP_LOSS,8411.75444870006
148,28.059999465942383,BUY,299.4776498285702
149,25.239999771118164,STOP_LOSS,7551.256997314989
161,24.700000762939453,BUY,305.4131784334377
164,25.8700008392334,FINAL_SELL,7893.138143203587
