Day,Price,Action,Amount
0,52.34000015258789,BUY,190.86740486962066
1,53.15999984741211,SELL,10136.364702531235
2,52.43000030517578,BUY,193.13805605355037
4,52.720001220703125,SELL,10172.056312356497
5,50.61000061035156,BUY,200.7880682373608
6,46.25,STOP_LOSS,9277.161707821959
8,48.5,BUY,191.0904030126626
9,47.93000030517578,SELL,9149.804111638368
11,48.18000030517578,BUY,189.71885117536596
14,46.790000915527344,SELL,8868.06827496798
17,46.810001373291016,BUY,170.33283384121256
20,48.41999816894531,SELL,9126.074814696873
21,48.84000015258789,BUY,177.33622595881872
22,48.58000183105469,SELL,9062.682928344793
28,49.40999984741211,BUY,174.07284476233627
30,49.18999862670898,SELL,9007.21449822908
32,49.41999816894531,BUY,172.97242485362761
33,49.119998931884766,SELL,8938.269643643103
34,49.61000061035156,BUY,152.99196884742298
36,48.84000015258789,SELL,8805.396100617472
38,47.7400016784668,BUY,138.19528270698467
43,46.38999938964844,SELL,8605.81722650325
44,46.84000015258789,BUY,119.30374461625917
45,46.150001525878906,SELL,8512.39815736348
47,46.04999923706055,BUY,101.56649826389693
51,46.709999084472656,SELL,8570.006040692364
59,47.560001373291016,BUY,108.00802086763161
60,47.5099983215332,SELL,8554.331845520112
139,42.15999984741211,BUY,121.61922501808296
140,40.040000915527344,STOP_LOSS,4864.764247188698
150,33.20000076293945,BUY,87.82950670952744
151,37.63999938964844,TAKE_PROFIT,3302.596676360796
152,33.709999084472656,BUY,68.5110032187126
154,37.119998931884766,TAKE_PROFIT,2540.5852379346643
159,37.66999816894531,BUY,53.90060580972501
164,39.310001373291016,FINAL_SELL,2624.831103100039
