Day,Price,Action,Amount
0,9.640000343322754,BUY,1036.307017034463
1,9.800000190734863,SELL,10145.653155633017
2,9.720000267028809,BUY,1042.7476567935926
3,9.489999771118164,SELL,9885.77934928089
4,9.720000267028809,BUY,1016.0384052078276
7,10.829999923706056,TAKE_PROFIT,10992.692155032313
8,10.550000190734863,BUY,1040.9193615485942
10,10.0600004196167,SELL,10461.177564752037
11,9.68000030517578,BUY,1079.6194274497504
22,9.720000267028809,SELL,10483.407221977963
23,9.90999984741211,BUY,1056.8036302736045
24,10.010000228881836,SELL,10568.025976341014
25,10.079999923706056,BUY,1047.3668680825815
26,9.90999984741211,SELL,10369.02609738
27,9.800000190734863,BUY,1057.005803028037
29,9.890000343322754,SELL,10443.333967086588
30,9.869999885559082,BUY,1057.030471538707
36,10.460000038146973,SELL,11045.48223384477
38,10.550000190734863,BUY,1045.9181565988501
40,10.600000381469728,SELL,11075.646126074993
41,10.760000228881836,BUY,1028.3057848130486
43,10.600000381469728,SELL,10889.141669574557
44,10.59000015258789,BUY,1027.2192985046042
47,10.489999771118164,SELL,10764.754675995258
48,10.470000267028809,BUY,1027.1241305680544
49,10.489999771118164,SELL,10763.757362674265
50,10.479999542236328,BUY,1026.0490529579745
51,10.489999771118164,SELL,10752.491076354478
67,10.489999771118164,BUY,1023.9979809011115
68,10.550000190734863,SELL,10792.375714925023
77,9.470000267028809,BUY,1138.4987365573534
78,9.350000381469728,SELL,10634.318657492942
81,8.859999656677246,BUY,1199.06148425514
82,8.079999923706055,STOP_LOSS,9678.7282845991
83,7.75,BUY,1247.6192975889678
84,6.949999809265137,STOP_LOSS,8662.282926398551
107,2.5899999141693115,BUY,3007.049744101192
108,2.5899999141693115,FINAL_SELL,8646.698613185667
