Day,Price,Action,Amount
0,17.450000762939453,BUY,572.492811645997
3,17.729999542236328,SELL,10140.146991128699
4,17.709999084472656,BUY,571.9936401927379
7,17.59000015258789,SELL,10051.306850051293
8,17.81999969482422,BUY,563.4823633648941
9,17.68000030517578,SELL,9952.405987896245
11,17.6299991607666,BUY,563.9508823139402
20,17.520000457763672,SELL,9870.53929658016
22,17.700000762939453,BUY,501.38991519915675
31,17.920000076293945,SELL,9962.976340961297
32,18.020000457763672,BUY,524.7148976800167
33,18.010000228881836,SELL,9938.81412893556
34,17.950000762939453,BUY,525.4836294236269
35,18.0,SELL,9946.187330742436
36,18.030000686645508,BUY,551.0948843596709
43,17.8799991607666,SELL,9843.72249378383
44,17.969999313354492,BUY,547.238683753424
50,18.26000022888184,SELL,9982.585912099928
84,18.1299991607666,BUY,550.0608818432042
87,18.25,SELL,10028.57248254484
91,18.049999237060547,BUY,555.0440073976325
92,18.200000762939453,SELL,10091.699556743783
95,18.290000915527344,BUY,551.2087125500487
96,18.299999237060547,SELL,10077.031900107891
106,18.399999618530277,BUY,547.1171237454565
108,18.440000534057617,SELL,10078.751214004227
117,18.31999969482422,BUY,549.600034416749
119,18.459999084472656,SELL,10135.47051602717
123,18.290000915527344,BUY,553.5994827050672
124,18.34000015258789,SELL,10142.861582686226
135,19.09000015258789,BUY,530.7867281357734
138,18.030000686645508,STOP_LOSS,9560.514987677567
147,15.329999923706056,BUY,623.0237782271905
149,14.800000190734863,SELL,9211.53128455818
150,11.630000114440918,BUY,791.2570647223935
152,9.119999885559082,STOP_LOSS,7209.048075376328
153,7.300000190734863,BUY,887.8979390709267
154,5.480000019073486,STOP_LOSS,4860.815042320944
158,3.9600000381469727,BUY,981.0008445456277
159,5.480000019073486,TAKE_PROFIT,5370.508762174325
163,5.710000038146973,BUY,845.6435018935546
164,5.710000038146973,FINAL_SELL,5360.846679860298
