Day,Price,Action,Amount
1,13.43000030517578,BUY,743.8570195824909
3,13.34000015258789,SELL,9913.12970197927
5,13.18000030517578,BUY,751.3821201042235
6,13.170000076293944,SELL,9885.80687651943
8,13.260000228881836,BUY,744.7904147189979
9,13.279999732971191,SELL,9880.925692079207
11,13.15999984741211,BUY,750.0793982401337
15,13.020000457763672,SELL,9756.268074337195
16,13.079999923706056,BUY,745.1461669046635
29,13.270000457763672,SELL,9878.201885949804
30,13.289999961853027,BUY,742.5375253867127
31,13.220000267028809,SELL,9806.529937607362
32,13.270000457763672,BUY,738.2609698357726
36,13.229999542236328,SELL,9757.425100685241
38,13.25,BUY,735.6730321195892
51,13.239999771118164,SELL,9730.570466104286
52,13.279999732971191,BUY,658.7918736438835
53,13.31999969482422,SELL,9739.389494943744
70,13.300000190734863,BUY,694.9749975654436
71,13.329999923706056,SELL,9741.72212260764
72,13.260000228881836,BUY,733.9351608220668
73,13.279999732971191,SELL,9736.91208099548
79,13.289999961853027,BUY,731.9168695887809
80,13.279999732971191,SELL,9710.135976863423
84,13.380000114440918,BUY,724.9944512643893
85,13.380000114440918,SELL,9690.725415045674
92,13.760000228881836,BUY,703.5635558573916
93,13.770000457763672,SELL,9678.382415735898
120,14.0600004196167,BUY,687.6745195419951
121,14.029999732971191,SELL,9638.425252219738
136,13.979999542236328,BUY,688.7544450825668
140,13.359999656677246,SELL,9192.55739068818
146,13.06999969482422,BUY,702.6293074003778
147,12.09000015258789,STOP_LOSS,8486.293645249609
152,10.420000076293944,BUY,732.2482303817484
154,8.649999618530273,STOP_LOSS,6327.612966558119
156,8.949999809265137,BUY,565.0311050999308
157,7.579999923706055,STOP_LOSS,4278.6527978154745
160,9.600000381469728,BUY,311.67310235609455
164,10.25,FINAL_SELL,4475.050489195461
