Day,Price,Action,Amount
0,120.23999786376952,BUY,83.08383381142896
2,122.05999755859376,SELL,10131.071339629447
3,121.7300033569336,BUY,83.14252845794685
5,121.87000274658205,SELL,10122.447591356231
6,122.83999633789062,BUY,82.3211123838635
7,124.75,SELL,10259.289211117084
8,124.9000015258789,BUY,82.05788468130962
9,122.62000274658205,SELL,10051.876106955897
11,124.0,BUY,80.98245347458824
13,122.66999816894533,SELL,9924.183302024994
15,122.61000061035156,BUY,80.86011801133569
25,125.55999755859376,SELL,10142.643423870823
27,125.77999877929688,BUY,80.55732929546458
28,126.91000366210938,SELL,10213.307424941264
29,126.26000213623048,BUY,80.810184895352
42,126.86000061035156,SELL,10241.32852504183
44,125.58999633789062,BUY,81.46418898676295
46,126.20999908447266,SELL,10271.313622219222
48,126.5999984741211,BUY,81.05088809060699
51,127.95999908447266,SELL,10360.900294303896
66,130.9199981689453,BUY,79.06003314064189
67,130.7899932861328,SELL,10329.920942462324
80,136.19000244140625,BUY,75.77348437129014
82,135.7100067138672,SELL,10272.936852688134
83,135.1199951171875,BUY,75.95222237045519
84,135.0399932861328,SELL,10246.331011374163
92,132.25999450683594,BUY,69.65429150876274
96,130.85000610351562,SELL,10129.783305726021
102,131.0,BUY,61.79941082394074
103,132.58999633789062,SELL,10211.746332320476
106,130.2899932861328,BUY,66.55387861634688
113,135.5800018310547,SELL,10546.113559531503
116,137.5500030517578,BUY,68.935009022187
117,137.1699981689453,SELL,10500.97060224142
131,141.6300048828125,BUY,66.6625880320154
134,140.66000366210938,SELL,10417.480177056408
136,142.16000366210938,BUY,65.88601706464279
139,134.9600067138672,STOP_LOSS,8883.085328088764
140,128.16000366210938,BUY,55.394519283300205
143,129.94000244140625,SELL,8967.38307255939
147,117.33000183105467,BUY,64.89945638139739
149,107.1500015258789,STOP_LOSS,6947.022873445146
156,89.83000183105469,BUY,65.66920129958864
160,103.5500030517578,TAKE_PROFIT,6793.245948983921
161,104.98999786376952,BUY,61.4070882851975
164,104.4800033569336,FINAL_SELL,6749.05927483597
