Day,Price,Action,Amount
1,23.8700008392334,BUY,418.51695218963533
2,23.600000381469727,SELL,9867.123231095615
3,24.0,BUY,410.719004494355
4,23.600000381469727,SELL,9683.2756940809
11,23.270000457763672,BUY,415.710882169724
16,23.649999618530277,SELL,9821.730642528126
17,23.350000381469727,BUY,420.21022490741404
23,23.899999618530277,SELL,10032.981190774726
24,23.940000534057617,BUY,418.66950651588604
31,23.700000762939453,SELL,9912.545156222137
32,23.459999084472656,BUY,422.10711839371373
37,24.299999237060547,SELL,10246.945452270145
38,24.100000381469727,BUY,424.7592674184678
39,23.51000022888184,SELL,9976.104383753633
40,24.3799991607666,BUY,408.78296236399484
45,24.299999237060547,SELL,9923.492247894856
46,24.299999237060547,BUY,407.96580522222916
52,24.25,SELL,9883.277605862419
57,24.25,BUY,366.43525341983093
58,24.25,SELL,9865.496601121711
60,25.0,BUY,374.5139819717824
61,24.25,SELL,9566.156928808992
66,24.270000457763672,BUY,374.07338533370284
67,24.26000022888184,SELL,9544.253239840871
72,23.899999618530277,BUY,378.99471472158945
74,24.100000381469727,SELL,9601.851658587995
76,24.1200008392334,BUY,397.68861829087217
77,24.549999237060547,SELL,9753.492020352947
83,24.5,BUY,397.70361340133036
84,24.5,SELL,9733.994789804261
91,24.549999237060547,BUY,396.10024835906165
94,25.13999938964844,SELL,9948.00204198442
103,24.56999969482422,BUY,404.4792089287625
106,24.899999618530277,SELL,10061.460615881584
107,24.899999618530277,BUY,403.6706549901139
111,24.46999931335449,SELL,9867.942829779015
112,24.709999084472656,BUY,398.9508398300137
113,24.559999465942383,SELL,9788.434180749238
120,25.1299991607666,BUY,389.1224064119781
122,24.01000022888184,SELL,9333.48623794763
132,24.3700008392334,BUY,344.34703272676177
138,24.0,SELL,9189.413080451603
140,24.0,BUY,306.0074555790384
145,23.5,SELL,9021.866646991615
152,20.799999237060547,BUY,303.31690277181104
154,15.979999542236328,STOP_LOSS,4842.156963478636
155,15.619999885559082,BUY,185.81234988307497
157,15.619999885559082,SELL,4836.34928041664
159,14.970000267028809,BUY,209.78512686839503
161,14.760000228881836,SELL,4786.054340218745
163,14.880000114440918,BUY,208.85916410746023
164,14.880000114440918,FINAL_SELL,4779.835580511782
