Day,Price,Action,Amount
12,59.619998931884766,BUY,167.5612240686799
13,60.0,SELL,10043.619770676672
15,57.119998931884766,BUY,175.6578490638799
16,55.06999969482422,SELL,9663.804216647004
18,55.40999984741211,BUY,174.2310131567569
26,56.77999877929688,SELL,9882.94387764196
27,56.52999877929688,BUY,174.65170965791975
28,55.52999877929688,SELL,9688.710814882292
30,58.400001525878906,BUY,165.7366755337896
31,57.81999969482422,SELL,9573.31163425611
32,58.0,BUY,164.89204004520437
33,57.13999938964844,SELL,9412.509136473322
34,55.540000915527344,BUY,152.3728272434583
37,58.09000015258789,SELL,9783.737133912251
38,58.18999862670898,BUY,159.5678973375594
41,58.619998931884766,SELL,9833.702958214953
42,57.58000183105469,BUY,170.61252071649676
45,60.220001220703125,SELL,10264.011919608858
46,61.79999923706055,BUY,165.91825298179336
47,61.06999969482422,SELL,10122.495031304923
100,58.02000045776367,BUY,174.2911488536619
102,52.33000183105469,STOP_LOSS,9111.535482510104
103,58.2599983215332,BUY,156.23797132282596
104,48.400001525878906,STOP_LOSS,7554.356132374575
106,41.209999084472656,BUY,164.81731981346135
107,46.9900016784668,TAKE_PROFIT,7737.021368540273
109,44.5,BUY,173.69178308251085
110,48.90999984741211,SELL,8486.76981897828
112,56.709999084472656,BUY,149.50243671368136
113,55.61000061035156,SELL,8305.51676629997
115,55.310001373291016,BUY,150.01285560517744
116,55.310001373291016,FINAL_SELL,8288.914038284138
