Day,Price,Action,Amount
1,519.4099731445312,BUY,19.233361923183903
4,518.0,SELL,9952.918594733053
9,497.8299865722656,BUY,19.97261302919724
15,501.25,SELL,10001.261008604233
16,508.1600036621094,BUY,19.661641364122612
19,496.2200012207031,SELL,9746.743202004245
21,505.260009765625,BUY,19.27125889760985
22,496.6900024414063,SELL,9562.269787273906
28,530.1699829101562,BUY,18.018197607210546
30,529.4500122070312,SELL,9530.19520814324
34,545.010009765625,BUY,15.721910346796035
36,533.72998046875,SELL,9335.883168238883
38,528.5999755859375,BUY,14.115093024334618
46,518.030029296875,SELL,9171.90664451903
47,518.8800048828125,BUY,12.361074345041915
48,528.2100219726562,SELL,9274.286101404536
50,529.4000244140625,BUY,13.12572448248034
51,566.25,SELL,9743.58057206742
131,600.3499755859375,BUY,12.970883501071448
134,614.8800048828125,SELL,9916.277487976213
138,558.52001953125,BUY,15.076285064914973
142,559.0700073242188,SELL,9907.71172605879
147,510.6600036621094,BUY,17.444138074290365
148,537.4000244140625,SELL,10355.87691938479
149,509.5499877929688,BUY,19.28808797133241
150,457.5299987792969,STOP_LOSS,8816.05398711271
151,470.9800109863281,BUY,17.764821948488592
152,404.2900085449219,STOP_LOSS,7174.957877336115
155,408.2000122070313,BUY,16.681512909980626
156,394.1900024414063,SELL,6927.857822963705
161,490.4100036621094,BUY,11.995657564976698
162,504.2200012207031,SELL,7081.580695028185
