Day,Price,Action,Amount
1,5.159999847412109,BUY,1936.0465688793145
2,5.389999866485596,SELL,10424.855457021631
5,5.0,BUY,2082.886120312922
7,5.139999866485596,SELL,10695.328345932805
8,5.03000020980835,BUY,2124.1814258282056
9,5.0,SELL,10610.286222011888
11,5.289999961853027,BUY,2003.719473010531
13,5.170000076293945,SELL,10348.870598507772
14,4.980000019073486,BUY,2076.008371147098
17,4.909999847412109,SELL,10183.007584772953
18,4.699999809265137,BUY,1947.9877640464983
19,4.429999828338623,STOP_LOSS,8620.955874871393
20,4.53000020980835,BUY,1520.9420786072562
25,4.320000171661377,SELL,8288.090745603968
26,4.349999904632568,BUY,1332.3820656245312
27,4.800000190734863,TAKE_PROFIT,6389.038734960331
29,5.019999980926514,BUY,1017.1553339404373
33,5.210000038146973,SELL,6571.88769629451
34,5.050000190734863,BUY,1105.0531141656097
36,4.619999885559082,STOP_LOSS,5100.239915720842
38,4.599999904632568,BUY,941.4932204830748
39,4.510000228881836,SELL,5006.92449258762
40,4.579999923706055,BUY,928.3034942586712
49,4.679999828338623,SELL,5091.154407471092
50,4.730000019073486,BUY,967.7498751160455
52,4.659999847412109,SELL,5014.319996850595
95,6.130000114440918,BUY,735.4608523656698
97,5.559999942779541,STOP_LOSS,4085.0731347726464
119,5.699999809265137,BUY,644.3665576100445
121,5.789999961853027,SELL,4135.658775114807
122,5.699999809265137,BUY,688.5872090982975
127,5.400000095367432,STOP_LOSS,3714.652623804801
131,5.920000076293945,BUY,595.505241079139
132,6.150000095367432,SELL,3844.4275633293205
133,6.159999847412109,BUY,623.4713037175588
134,6.110000133514404,SELL,3805.6003392077278
137,6.0,BUY,633.6324564780866
138,6.039999961853027,SELL,3823.3128729435266
140,5.800000190734863,BUY,658.532661114732
141,5.579999923706055,SELL,3670.937586579372
149,4.599999904632568,BUY,797.2318967440763
150,3.859999895095825,STOP_LOSS,3074.237722761381
151,4.329999923706055,BUY,709.2756441459716
152,3.4800000190734863,STOP_LOSS,2465.810975901184
153,3.009999990463257,BUY,736.548390517285
154,2.680000066757202,STOP_LOSS,1971.9757860204775
157,2.650000095367432,BUY,594.7181099889912
159,2.869999885559082,SELL,2099.5292239048053
161,3.049999952316284,BUY,584.529596180757
162,3.0299999713897705,SELL,2084.2829186301847
