Day,Price,Action,Amount
3,4.849999904632568,BUY,2059.7938549355154
4,5.070000171661377,SELL,10432.712042912002
5,4.949999809265137,BUY,2105.511057063324
6,4.960000038146973,SELL,10432.891588429608
8,5.0,BUY,2084.4917393682354
9,5.150000095367432,SELL,10724.397523882497
10,5.260000228881836,BUY,2036.8198973702542
11,5.170000076293945,SELL,10519.82866577644
13,4.960000038146973,BUY,2118.812249250885
22,5.400000095367432,SELL,11430.144761672442
23,5.300000190734863,BUY,2154.4743784863003
25,5.039999961853027,SELL,10847.692234598895
26,5.130000114440918,BUY,2112.4452827707837
27,5.190000057220459,SELL,10952.627547317
28,5.099999904632568,BUY,2145.4264949751955
32,5.070000171661377,SELL,10866.435385113296
34,5.059999942779541,BUY,2145.3693819144673
36,4.730000019073486,STOP_LOSS,10137.449620157728
37,4.659999847412109,BUY,2173.243026212047
49,5.079999923706055,SELL,11029.034332944562
67,4.829999923706055,BUY,2281.1605533437587
68,4.78000020980835,SELL,10893.043975666109
69,4.610000133514404,BUY,2360.553279072143
70,4.619999885559082,SELL,10894.850123290247
71,4.619999885559082,BUY,2355.834533067278
72,4.619999885559082,SELL,10873.071317893791
74,4.659999847412109,BUY,2330.9439060621694
75,4.670000076293945,SELL,10874.62271092809
81,4.849999904632568,BUY,2239.9481034711876
82,4.900000095367432,SELL,10964.77017470629
105,4.710000038146973,BUY,2325.648687009581
106,4.650000095367432,SELL,10803.452349769308
126,4.110000133514404,BUY,2625.948551537125
128,4.039999961853027,SELL,10598.22321598996
130,4.360000133514404,BUY,2428.3542817783705
133,4.309999942779541,SELL,10455.740608697717
137,4.03000020980835,BUY,2332.693769692677
139,3.7899999618530273,STOP_LOSS,8832.06838885189
140,3.690000057220459,BUY,1912.896733580922
142,3.119999885559082,STOP_LOSS,5962.26935226896
146,3.0,BUY,1389.8049860138944
150,2.630000114440918,STOP_LOSS,3651.532084994834
151,2.819999933242798,BUY,776.1448168649505
152,2.559999942779541,STOP_LOSS,1984.9437560761478
153,2.619999885559082,BUY,378.42727078916045
154,2.3299999237060547,STOP_LOSS,880.8537765549673
158,2.6700000762939453,BUY,164.78893214112674
160,3.0299999713897705,TAKE_PROFIT,498.81114921329186
162,2.400000095367432,BUY,124.5780795657315
164,2.619999885559082,FINAL_SELL,525.592619336498
