Day,Price,Action,Amount
0,1.649999976158142,BUY,6054.545542031282
3,1.6100000143051147,SELL,9738.07059087205
5,1.4700000286102295,BUY,6617.913150300112
6,1.3799999952316284,STOP_LOSS,9123.587395741626
7,1.3300000429153442,BUY,6852.9800859006655
8,1.440000057220459,SELL,9858.423424111797
9,1.3899999856948853,BUY,7085.298634563809
10,1.3899999856948853,SELL,9838.716435686996
11,1.309999942779541,BUY,7502.960418758891
18,1.1799999475479126,STOP_LOSS,8844.639407688966
20,1.3799999952316284,BUY,6402.749854211571
21,1.3200000524520874,SELL,8443.178513253471
31,1.4600000381469729,BUY,5777.215831751317
33,1.4700000286102295,SELL,8484.014930523943
34,1.409999966621399,BUY,6011.014976051553
37,1.5299999713897705,SELL,9187.655888640977
38,1.75,BUY,5244.8389901441915
39,1.850000023841858,SELL,9693.249304556646
44,1.7799999713897705,BUY,5440.200118481721
45,1.7999999523162842,SELL,9782.567593904283
47,1.6799999475479126,BUY,5817.134125851909
50,1.7000000476837158,SELL,9879.239163039485
63,1.600000023841858,BUY,6168.349860507203
64,1.6100000143051147,SELL,9921.112320291893
93,1.5099999904632568,BUY,6563.702828190695
95,1.600000023841858,SELL,10491.422756914388
101,1.5399999618530271,BUY,6805.799736219566
102,1.7000000476837158,TAKE_PROFIT,11558.290016222983
134,1.7899999618530271,BUY,6450.688252670944
135,1.8200000524520876,SELL,11728.512705254972
136,1.7300000190734863,BUY,6772.707551081256
138,1.5299999713897705,STOP_LOSS,10351.880117026218
141,1.409999966621399,BUY,7334.41736292325
143,1.4600000381469729,SELL,10697.541380024111
145,0.8700000047683716,BUY,12283.728482839892
146,0.8500000238418579,SELL,10430.728333777535
148,0.7699999809265137,BUY,13532.85436826295
150,0.5,STOP_LOSS,6759.6607569473435
151,0.5799999833106995,BUY,11642.933259487601
152,0.5099999904632568,STOP_LOSS,5931.9579554517095
159,0.4600000083446502,BUY,11594.398480424854
160,0.699999988079071,TAKE_PROFIT,8107.962719283316
162,0.4900000095367431,BUY,16530.315507997268
164,0.5099999904632568,FINAL_SELL,8422.0302906818
