Day,Price,Action,Amount
0,3485.159912109375,BUY,2.866439489702957
1,3543.300048828125,SELL,10146.498528643526
2,3524.56005859375,BUY,2.875919791861667
4,3559.3701171875,SELL,10226.226503613932
8,3551.3798828125,BUY,2.8766284132408275
15,3608.659912109375,SELL,10370.39286326008
16,3632.090087890625,BUY,2.852358344562294
20,3585.60009765625,SELL,10217.188942454368
21,3649.75,BUY,2.796622166864008
26,3624.81005859375,SELL,10127.08693637437
27,3576.340087890625,BUY,2.8288584420966294
29,3698.68994140625,SELL,10452.607195179513
30,3665.659912109375,BUY,2.8486424923078797
32,3502.989990234375,SELL,9968.787370174494
33,3523.3798828125,BUY,2.8264958403675737
38,3718.7099609375,SELL,10500.407317887184
39,3634.929931640625,BUY,2.8858622058320336
46,3572.0400390625,SELL,10298.1069311028
47,3621.820068359375,BUY,2.840507984934742
48,3650.1298828125,SELL,10357.854855099642
49,3705.840087890625,BUY,2.7922135750154204
51,3892.889892578125,SELL,10858.910224092866
57,3643.64990234375,BUY,2.9772485295282753
58,3631.510009765625,SELL,10801.095928705377
63,3390.43994140625,BUY,3.1825648055282145
64,3515.0,SELL,11175.528576140243
80,3791.889892578125,BUY,2.9442714223891673
81,3758.0,SELL,11053.507433333152
95,3840.739990234375,BUY,2.8750849976767032
97,3817.14990234375,SELL,10963.655787693497
102,3735.5,BUY,2.932055181878143
103,3781.429931640625,SELL,11076.27386475003
121,3966.760009765625,BUY,2.789479969457256
125,3853.47998046875,SELL,10738.456013003894
134,3965.949951171875,BUY,2.7049553547242873
139,3849.5,SELL,10402.312912373132
141,3667.179931640625,BUY,2.833760762540937
142,3788.31005859375,SELL,10724.429235981743
147,3632.35009765625,BUY,2.9495242800683528
149,3411.89990234375,STOP_LOSS,10053.418121522607
151,2922.280029296875,BUY,3.436824877394656
152,2321.780029296875,STOP_LOSS,7971.571813161067
153,2271.550048828125,BUY,3.505800035291437
155,2709.419921875,TAKE_PROFIT,9489.185773270969
156,2326.889892578125,BUY,4.073977293783538
157,2175.0,STOP_LOSS,8852.039713365215
160,2941.469970703125,BUY,3.006383801884602
162,2714.31005859375,STOP_LOSS,8152.097535655245
