Day,Price,Action,Amount
0,13.949999809265137,BUY,716.1290420495179
1,13.859999656677246,SELL,9915.622728665981
9,13.960000038146973,BUY,709.5778709791596
10,14.079999923706056,SELL,9980.865512880822
11,14.170000076293944,BUY,703.6615803587033
12,14.119999885559082,SELL,9925.765732703077
13,14.119999885559082,BUY,702.2549608595664
16,14.020000457763672,SELL,9835.769257845212
17,13.989999771118164,BUY,702.3540850138284
18,13.979999542236328,SELL,9809.090877194154
19,14.130000114440918,BUY,624.1580705064431
28,13.949999809265137,SELL,9679.207047271077
29,13.960000038146973,BUY,554.1276684126614
33,14.079999923706056,SELL,9730.156820898928
34,14.09000015258789,BUY,586.399047195808
38,13.8100004196167,SELL,9549.596439883942
39,13.800000190734863,BUY,587.6115728151766
49,14.050000190734863,SELL,9680.126233403704
50,14.050000190734863,BUY,619.4591728327979
51,13.989999771118164,SELL,9625.58007580211
58,14.020000457763672,BUY,617.2866450486646
59,14.199999809265137,SELL,9719.26277929121
66,14.15999984741211,BUY,651.4171214749075
67,14.210000038146973,SELL,9733.343822651577
71,13.770000457763672,BUY,706.1445283646779
72,13.739999771118164,SELL,9692.72323244891
75,13.6899995803833,BUY,707.3068521558969
76,13.630000114440918,SELL,9630.951883353891
77,13.630000114440918,BUY,705.8929457584372
79,13.619999885559082,SELL,9604.647578606431
158,12.1899995803833,BUY,708.4117256100436
159,12.260000228881836,SELL,9636.907548064233
