Day,Price,Action,Amount
1,18.25,BUY,547.3972602739726
3,17.6299991607666,SELL,9640.962625996837
7,17.5,BUY,550.3612379069051
8,17.59000015258789,SELL,9671.17340450216
11,18.450000762939453,BUY,523.6586358578767
12,18.65999984741211,SELL,9761.698595138809
13,18.549999237060547,BUY,525.7109055325748
15,18.209999084472656,SELL,9563.621913337032
19,18.559999465942383,BUY,514.7660865484075
26,18.59000015258789,SELL,9559.932125854486
28,18.350000381469727,BUY,520.4562395199091
31,18.57999992370605,SELL,9660.406813681677
32,18.540000915527344,BUY,520.5364579451259
36,17.479999542236328,STOP_LOSS,9089.878069551522
38,18.020000457763672,BUY,503.92829971153725
48,18.18000030517578,SELL,9152.255225899917
49,18.350000381469727,BUY,498.2617319129292
51,18.43000030517578,SELL,9173.780907341485
53,18.600000381469727,BUY,492.7208031438749
54,18.600000381469727,SELL,9155.442519307708
93,10.300000190734863,BUY,887.9890201376636
95,7.900000095367432,STOP_LOSS,7008.098230429002
96,8.449999809265137,BUY,828.5313952933012
97,10.119999885559082,TAKE_PROFIT,8376.352887924764
98,10.8100004196167,BUY,774.0958566339771
99,12.09000015258789,TAKE_PROFIT,9349.460205797614
100,11.1899995803833,BUY,834.6837440428109
102,11.15999984741211,FINAL_SELL,9305.755385698982
