Day,Price,Action,Amount
2,114.26000213623048,BUY,87.43217060410232
5,109.5999984741211,SELL,9572.983199033912
6,111.56999969482422,BUY,85.71668228012489
11,118.37000274658205,SELL,10136.137633009355
12,114.72000122070312,BUY,88.26709717249324
13,115.08999633789062,SELL,10148.501230448144
15,116.33999633789062,BUY,87.14417266932429
20,119.37000274658205,SELL,10391.997730754974
22,120.52999877929688,BUY,86.13296140518538
23,120.9000015258789,SELL,10403.061690150067
25,122.5,BUY,84.83802962008096
29,125.54000091552734,SELL,10639.915749860322
30,125.47000122070312,BUY,84.71567490792836
33,129.1199951171875,SELL,10927.549042930494
34,128.9499969482422,BUY,84.65778791967917
35,128.6199951171875,SELL,10877.795584592168
36,127.37000274658205,BUY,85.31771653195781
39,119.43000030517578,STOP_LOSS,10179.305416537174
40,119.83000183105467,BUY,84.86293879439168
52,125.69000244140624,SELL,10655.756561267746
109,129.14999389648438,BUY,82.42432294064747
117,122.52999877929688,STOP_LOSS,10089.352737112604
118,119.08000183105467,BUY,84.64278828846085
119,120.63999938964844,SELL,10201.094621530601
136,132.3300018310547,BUY,77.01120974758055
137,126.97000122070312,SELL,9768.33528226247
138,121.41999816894533,BUY,80.37034338776726
140,114.77999877929688,STOP_LOSS,9215.683008023658
147,99.47000122070312,BUY,92.55521475855227
150,89.33999633789062,STOP_LOSS,8260.613665034158
151,98.72000122070312,BUY,75.23417397076196
152,85.02999877929688,STOP_LOSS,6390.764559174403
154,73.79000091552734,BUY,69.21668210221463
156,62.34999847412109,STOP_LOSS,4311.34436343335
