Day,Price,Action,Amount
1,7.849999904632568,BUY,1272.6114804287502
5,7.75,SELL,9852.876234349491
6,7.769999980926514,BUY,1266.7983760974778
7,7.769999980926514,SELL,9833.180334757026
9,7.639999866485596,BUY,1285.7784458235878
13,7.670000076293945,SELL,9852.058856786465
14,7.679999828338623,BUY,1281.5373721250194
17,7.78000020980835,SELL,9960.390662985881
18,7.840000152587891,BUY,1269.1875100331952
20,7.940000057220459,SELL,10067.271553384775
21,7.929999828338623,BUY,1268.2477300807745
22,7.849999904632568,SELL,9945.788815624368
27,7.909999847412109,BUY,1256.1116584672784
29,8.100000381469727,SELL,10164.330407840773
31,8.119999885559082,BUY,1250.513081347635
38,7.960000038146973,SELL,9944.130091055235
39,7.989999771118164,BUY,1243.3274399923962
44,8.140000343322754,SELL,10110.565102612305
45,8.170000076293945,BUY,1236.2857335604133
48,8.15999984741211,SELL,10078.00330581353
49,8.130000114440918,BUY,1238.3671784486887
51,8.149999618530273,SELL,10082.599339925266
152,7.230000019073486,BUY,1393.1558387293226
155,6.840000152587891,STOP_LOSS,9519.65696333779
