Day,Price,Action,Amount
1,47.060001373291016,BUY,212.28218675042032
5,43.400001525878906,STOP_LOSS,9203.834181656268
6,44.209999084472656,BUY,207.97626188379473
16,44.25,SELL,9193.746638769559
17,44.56999969482422,BUY,206.07029291044316
20,43.86000061035156,SELL,9029.204929654536
21,43.869998931884766,BUY,205.61148722000553
27,44.459999084472656,SELL,9132.345047024948
28,44.459999084472656,BUY,205.20046985705272
29,45.41999816894531,SELL,9310.884760208879
30,44.119998931884766,BUY,210.82443564445742
35,42.54999923706055,SELL,8961.608996249559
37,42.7400016784668,BUY,209.4676423881335
43,38.619998931884766,STOP_LOSS,8081.550485168842
44,39.869998931884766,BUY,202.49483699451952
45,40.25,SELL,8142.266771840381
46,41.04999923706055,BUY,198.1516359621496
50,42.65999984741211,SELL,8444.695611149851
82,34.11000061035156,BUY,247.32485384296658
83,33.459999084472656,SELL,8267.213893769842
133,30.1299991607666,BUY,274.11041851704914
134,30.57999992370605,SELL,8373.914280761059
140,23.440000534057617,BUY,356.89164572865167
141,23.209999084472656,SELL,8275.171315847327
147,19.82999992370605,BUY,416.88835987582144
150,16.440000534057617,STOP_LOSS,6846.791214141907
163,16.079999923706055,BUY,425.3696800610011
164,16.079999923706055,FINAL_SELL,6833.104478504838
