Day,Price,Action,Amount
1,14.029999732971191,BUY,712.0456300881466
2,14.029999732971191,SELL,9980.01
8,13.81999969482422,BUY,721.4204204167901
9,13.600000381469728,SELL,9801.506674875529
11,13.81999969482422,BUY,708.5170321579516
14,13.489999771118164,SELL,9548.336707042443
15,13.649999618530272,BUY,698.8123543524658
18,13.9399995803833,SELL,9731.702482513601
19,14.170000076293944,BUY,686.0953230547756
20,14.239999771118164,SELL,9760.227246021981
21,14.270000457763672,BUY,683.2842821298694
23,15.050000190734863,SELL,10273.145147804289
24,15.149999618530272,BUY,677.4173109617612
25,15.0,SELL,10151.098404761993
26,14.699999809265137,BUY,689.8603699277315
33,14.6899995803833,SELL,10123.914496216683
35,15.140000343322754,BUY,668.0178568279217
38,14.81999969482422,SELL,9890.124409892604
39,14.899999618530272,BUY,596.7926902411266
40,14.760000228881836,SELL,9788.86402529874
42,14.899999618530272,BUY,525.0510288127401
43,14.789999961853027,SELL,9715.511996474956
44,14.6899995803833,BUY,462.49542091257587
45,14.8100004196167,SELL,9757.361419350751
48,14.9399995803833,BUY,489.33756685292946
51,15.09000015258789,SELL,9816.060209356901
53,15.56999969482422,BUY,503.85327380101813
54,15.470000267028809,SELL,9750.027711836223
62,15.539999961853027,BUY,501.4299978396105
64,15.380000114440918,SELL,9654.286973100405
69,14.520000457763672,BUY,531.3847042460903
70,14.8100004196167,SELL,9792.795279789709
72,14.989999771118164,BUY,554.7399759041587
73,14.829999923706056,SELL,9687.48629850349
78,14.460000038146973,BUY,568.8885870451497
79,14.5600004196167,SELL,9727.857992801959
82,14.279999732971191,BUY,612.4872048235275
83,14.4399995803833,SELL,9808.256464941427
85,14.31999969482422,BUY,650.0367315941432
86,14.300000190734863,SELL,9776.642683642202
91,13.31999969482422,BUY,696.5858071690503
95,13.600000381469728,SELL,9952.925810164365
100,13.81999969482422,BUY,719.4625979679275
103,13.609999656677246,SELL,9782.093825624277
105,13.079999923706056,BUY,747.1186382874067
108,12.739999771118164,SELL,9508.772989498897
114,13.510000228881836,BUY,703.1283534845367
118,13.199999809265137,SELL,9272.012837752909
137,13.029999732971191,BUY,639.790246605224
139,12.25,STOP_LOSS,7829.59309039308
140,11.59000015258789,BUY,539.8973870112465
141,11.510000228881836,SELL,7773.923447102696
143,11.609999656677246,BUY,468.24330984646843
147,9.989999771118164,STOP_LOSS,4673.072807635637
148,10.380000114440918,BUY,269.84969267966807
149,9.270000457763672,STOP_LOSS,2499.005267893241
150,7.03000020980835,BUY,177.56089531421276
151,8.109999656677246,TAKE_PROFIT,1438.5787812375324
152,6.210000038146973,BUY,138.8541249882307
154,4.71999979019165,STOP_LOSS,654.7360493708824
155,4.940000057220459,BUY,79.4430735722951
156,5.670000076293945,TAKE_PROFIT,449.9917909827228
161,5.570000171661377,BUY,56.49537697237772
162,5.179999828338623,STOP_LOSS,292.3533969758235
