Day,Price,Action,Amount
1,23.020000457763672,BUY,433.970451839448
2,23.0,SELL,9971.339071914996
4,22.88999938964844,BUY,435.1842725407811
5,23.36000061035156,SELL,10155.738967295876
6,23.350000381469727,BUY,434.500345292499
7,22.1299991607666,STOP_LOSS,9605.876784399125
8,23.020000457763672,BUY,416.86666884397516
9,22.46999931335449,SELL,9357.626768921811
11,22.350000381469727,BUY,418.2670685725577
17,23.229999542236328,SELL,9706.627467661574
18,23.100000381469727,BUY,419.78011601993535
23,22.76000022888184,SELL,9544.641341157081
25,23.0,BUY,414.56942173112714
33,24.520000457763672,SELL,10155.077168211437
35,25.059999465942383,BUY,404.82531154202985
38,25.40999984741211,SELL,10276.324493407026
39,25.61000061035156,BUY,400.86091074765864
40,25.799999237060547,SELL,10331.868980265532
43,25.989999771118164,BUY,397.1349442932759
46,26.670000076293945,SELL,10580.99740560606
47,26.190000534057617,BUY,403.60504744757935
50,26.15999984741211,SELL,10547.749671663789
58,30.8700008392334,BUY,341.34116085284165
60,31.34000015258789,SELL,10686.934401179373
66,30.559999465942383,BUY,349.3536535783106
68,31.18000030517578,SELL,10881.954178160813
76,32.58000183105469,BUY,333.6731618480308
77,33.4900016784668,SELL,11163.540035599524
94,32.470001220703125,BUY,343.4670796517582
96,32.38999938964844,SELL,11113.773601784495
111,31.670000076293945,BUY,350.5734070551336
112,32.720001220703125,SELL,11459.291544483236
116,32.41999816894531,BUY,353.1102066472194
118,32.11000061035156,SELL,11327.030582012618
121,30.18000030517578,BUY,374.94047173650944
125,30.81999969482422,SELL,11544.109559271974
127,32.290000915527344,BUY,357.1559344294419
130,31.600000381469727,SELL,11274.841536550326
131,32.209999084472656,BUY,349.691617980938
132,32.150001525878906,SELL,11231.343465622547
133,31.75,BUY,353.3893581781708
136,31.040000915527344,SELL,10958.236795386656
137,30.26000022888184,BUY,325.5965177861537
138,30.26000022888184,SELL,10938.521831568074
140,28.71999931335449,BUY,361.4625484835069
144,32.93000030517578,TAKE_PROFIT,11891.058870039627
147,28.700000762939453,BUY,413.9082751004403
149,27.82999992370605,SELL,11507.54819720209
152,22.299999237060547,BUY,515.5175355297557
153,28.0,TAKE_PROFIT,14420.056503838327
158,27.979999542236328,BUY,514.854777806158
161,25.36000061035156,STOP_LOSS,13043.660761927178
162,26.25,BUY,496.40446099677143
164,26.5,FINAL_SELL,13141.56349819803
