Day,Price,Action,Amount
3,106.61000061035156,BUY,93.70603079266839
4,108.55999755859376,SELL,10162.553747603513
5,105.36000061035156,BUY,96.35906544270125
6,105.45999908447266,SELL,10151.864926414546
7,107.37000274658205,BUY,94.45573998377286
8,109.62000274658205,SELL,10343.88423797517
13,106.66000366210938,BUY,96.88299267711493
20,115.0500030517578,SELL,11135.242214562335
32,114.83999633789062,BUY,96.86613834101503
39,109.0500030517578,STOP_LOSS,10552.689429017983
40,109.52999877929688,BUY,96.24885289035187
51,109.41000366210938,SELL,10520.056759860017
52,110.94000244140624,BUY,94.73171508762897
54,108.37999725341795,SELL,10256.75599798779
108,127.45999908447266,BUY,72.3509287935829
109,131.02999877929688,SELL,10496.337569191435
134,139.05999755859375,BUY,71.63490108536622
137,131.75,STOP_LOSS,9428.460319779004
138,126.54000091552734,BUY,70.71345188672487
140,119.83999633789062,STOP_LOSS,8465.825515329569
146,116.75,BUY,68.81791610555483
147,103.63999938964844,STOP_LOSS,7125.156494393404
149,105.5199966430664,BUY,57.33819967489279
150,91.7300033569336,STOP_LOSS,5254.373615409786
152,97.5500030517578,BUY,40.357143087499296
153,108.11000061035156,TAKE_PROFIT,4358.647753057772
156,90.33999633789062,BUY,40.96907117049178
157,85.41999816894531,STOP_LOSS,3496.0784063824312
158,89.5,BUY,33.16977629921387
160,101.33999633789062,TAKE_PROFIT,3358.063583682294
162,98.83000183105467,BUY,32.2469916528147
164,97.6500015258789,FINAL_SELL,3313.673044502372
