Day,Price,Action,Amount
1,46.65999984741211,BUY,214.10201527366857
2,48.02000045776367,SELL,10270.897692578239
4,46.13999938964844,BUY,222.38029758595195
5,45.130001068115234,SELL,10025.987044514213
7,46.02000045776367,BUY,217.64365401652196
8,45.900001525878906,SELL,9979.854207404762
11,45.72999954223633,BUY,218.01606063846904
22,46.130001068115234,SELL,10047.024029008733
23,45.59999847412109,BUY,220.10915221139558
24,46.54999923706055,SELL,10235.834786642996
25,46.91999816894531,BUY,217.93690006203613
26,47.43000030517578,SELL,10326.410489214986
28,47.790000915527344,BUY,215.8628140007839
29,47.43999862670898,SELL,10230.29106815497
31,46.2599983215332,BUY,220.92652719205913
33,45.95000076293945,SELL,10141.422518935653
34,46.970001220703125,BUY,215.69684549957213
35,46.56999969482422,SELL,10034.95702706053
36,46.79999923706055,BUY,192.7869660280963
42,46.11000061035156,SELL,9884.013416808177
43,45.13999938964844,BUY,174.99564974572363
44,45.34000015258789,SELL,9903.171166748787
45,44.880001068115234,BUY,187.37249545698117
46,45.38999938964844,SELL,9981.808291987169
47,46.459999084472656,BUY,193.1692641450152
50,46.2400016784668,SELL,9921.395780394121
65,44.84999847412109,BUY,198.89246933418463
66,44.709999084472656,SELL,9875.72921775747
74,44.27999877929688,BUY,200.52548293739443
75,43.27000045776367,SELL,9655.633922531588
138,42.25,BUY,182.64574274289342
139,42.52000045776367,SELL,9689.457752477694
141,38.34000015258789,BUY,214.6010176779061
143,39.38999938964844,SELL,9898.099484266957
147,34.45000076293945,BUY,258.32746151571007
150,27.5,STOP_LOSS,7096.901186490345
151,31.63999938964844,BUY,201.6695316012258
152,25.76000022888184,STOP_LOSS,5189.8121730258645
156,28.059999465942383,BUY,166.29223854516013
157,29.459999084472656,SELL,5413.051443402615
159,30.56999969482422,BUY,168.0489539956076
164,32.61000061035156,FINAL_SELL,5745.248988043469
